run_id,seed,observation_space,environment,architecture,optimizer,step,probe_loss,initial_probe_loss,plasticity_loss,weight_norm,weight_rank,dead_units,feature_rank
mnist_easy_mlp_adam_seed9928,9928,mnist,easy,mlp,adam,0,0.000698642217298584,0.000698642217298584,0.0,18.57946958313974,344.6666666666667,6.0,422
mnist_easy_mlp_adam_seed9928,9928,mnist,easy,mlp,adam,5000,1.954632559857672e-06,0.000698642217298584,-0.0006966875847387264,46.837483952740705,344.3333333333333,343.0,366
mnist_easy_mlp_adam_seed9928,9928,mnist,easy,mlp,adam,10000,4.758825900026264e-10,0.000698642217298584,-0.0006986417414159941,61.951652980312055,344.6666666666667,355.0,381
mnist_easy_mlp_adam_seed9928,9928,mnist,easy,mlp,adam,15000,0.0016538207770627443,0.000698642217298584,0.0009551785597641603,73.38894305252055,344.6666666666667,343.0,389
mnist_easy_mlp_adam_seed9928,9928,mnist,easy,mlp,adam,20000,1.0276149087288774e-09,0.000698642217298584,-0.0006986411896836753,82.55515031205617,344.6666666666667,340.0,392
mnist_easy_mlp_adam_seed9928,9928,mnist,easy,mlp,adam,25000,0.0018091507729926803,0.000698642217298584,0.0011105085556940963,90.03517008082115,344.6666666666667,341.0,393
mnist_easy_mlp_adam_seed9928,9928,mnist,easy,mlp,adam,30000,0.07649006543596612,0.000698642217298584,0.07579142321866754,96.43484337658747,344.6666666666667,343.0,390
mnist_easy_mlp_adam_seed9928,9928,mnist,easy,mlp,adam,35000,8.554991252509995e-06,0.000698642217298584,-0.000690087226046074,102.20410351269503,344.6666666666667,337.0,394
mnist_easy_mlp_adam_seed9928,9928,mnist,easy,mlp,adam,40000,0.0031778259010167174,0.000698642217298584,0.0024791836837181336,107.27497679195184,344.6666666666667,332.0,394
mnist_easy_mlp_adam_seed9928,9928,mnist,easy,mlp,adam,45000,0.0092727690859423,0.000698642217298584,0.008574126868643716,111.92427029962934,344.6666666666667,331.0,396
mnist_easy_mlp_adam_seed9928,9928,mnist,easy,mlp,adam,50000,1.556302250385448e-05,0.000698642217298584,-0.0006830791947947296,116.3742869464897,344.6666666666667,330.0,397
mnist_easy_mlp_adam_seed8137,8137,mnist,easy,mlp,adam,0,0.0004773880423807997,0.0004773880423807997,0.0,18.575219063593,344.6666666666667,7.0,416
